gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
133,18422,11014.3,37,2735.86,68.4,20.3,11.3,71.7,68.4,17971,18422,9.93,6.73,17115,10920.9,1307,13.24,30.47,28255.5,4,0.0703,0.0754,0.0903,56334,32860,109550,65436
134,18422,10879.5,797,2416.99,65.9,17.2,16.9,76.1,65.9,17971,18422,9.93,6.73,17082,10910.5,1340,13.24,30.35,28185.4,5,0.0700,0.0750,0.0900,62972,32399,126017,64621
135,18422,10791.9,376,2833.26,69.7,16.3,14.1,70.2,69.7,17971,18422,9.93,6.73,17174,10880.9,1248,13.24,30.00,28059.4,6,0.0698,0.0746,0.0898,65481,31631,127334,63158
136,18422,10908.3,800,2472.66,67.5,19.1,13.4,73.5,67.5,17971,18422,9.93,6.73,16808,10887.7,1614,13.24,30.08,28169.3,7,0.0695,0.0742,0.0895,64981,32357,121293,64548
137,18422,10900.8,38,2815.76,72.8,16.9,10.3,64.6,72.8,17971,18422,9.93,6.73,16976,10891.0,1446,13.24,30.12,28092.4,8,0.0692,0.0738,0.0892,53167,31823,103411,63529
138,18422,10913.8,650,2672.20,73.4,14.1,12.5,63.8,73.4,17971,18422,9.95,6.73,16849,10896.7,1573,13.24,30.18,28159.4,9,0.0690,0.0735,0.0890,56783,32237,110001,64426
139,18422,10969.7,37,2604.64,80.9,8.4,10.6,49.0,80.9,17971,18422,9.95,6.73,16556,10914.9,1866,13.24,30.40,28298.4,10,0.0687,0.0731,0.0887,65284,33205,118419,65951
140,19230,10959.8,93,2941.99,82.8,9.4,7.8,44.9,82.8,19230,18422,9.95,6.73,19230,10926.2,0,18.21,30.54,28978.6,11,0.0685,0.0727,0.0885,77855,32272,151198,64277
141,19230,11047.3,37,2615.10,83.1,8.4,8.4,44.2,83.1,19230,18422,9.95,6.73,18897,10956.4,333,18.21,30.90,28977.1,0,0.0682,0.0723,0.0882,70385,32102,132645,64233
142,19230,10984.4,954,2621.92,85.0,7.2,7.8,39.9,85.0,19230,18422,9.95,6.73,17920,10963.4,1310,18.21,30.98,29122.8,1,0.0680,0.0719,0.0880,63646,33108,124777,66009
143,19230,10876.4,878,2550.32,88.1,8.4,3.4,32.3,88.1,19230,18422,9.95,6.73,17878,10941.7,1353,18.21,30.72,29000.1,2,0.0677,0.0716,0.0877,65673,32366,132229,64476
144,19230,11003.4,2586,2471.30,88.8,6.9,4.4,30.9,88.8,19230,18422,9.95,6.73,16870,10957.1,2361,18.21,30.91,29089.8,3,0.0675,0.0712,0.0875,60792,32920,112468,65576
